Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0027836	4797	1846	2028	6619	3248	3771	2416	2885	2890	3375	4543	4622	3455.15	2730	4180	1.531	0.615	4.026	5.67350826501829e-05	0.00133687666974915	0.0185	0.0138	0.0165	0.0165	TRUE	0.3497
FBgn0011606	2872	1023	1014	3736	1588	1743	1447	1599	1445	1905	2221	2136	1792.12	1497	2087	1.394	0.48	4.014	5.98186719084968e-05	0.00140520556633561	0.004	0.0146	0.0097	0.0097	TRUE	0.073
FBgn0041604	539	161	171	819	282	299	271	252	244	418	394	366	324.21	256	393	1.534	0.617	4.013	5.99503890431717e-05	0.00140520556633561	0	0.0226	0.0136	0.0136	TRUE	0.0397
FBgn0032436	13	6	4	62	31	18	7	9	6	32	43	22	19.78	7	32	4.564	2.19	3.987	6.69015650260034e-05	0.00153977322916437	0	0.1721	0.1282	0.1282	TRUE	0.0835
FBgn0032820	532	176	202	775	297	354	268	275	288	395	415	434	345.89	277	415	1.498	0.583	3.981	6.86255116199351e-05	0.00157133015937985	0	0.022	0.0122	0.0122	TRUE	0.0225
FBgn0261563	2758	1210	1067	4463	1837	1866	1389	1891	1520	2276	2569	2287	1988.8	1600	2377	1.488	0.574	3.978	6.94255836973338e-05	0.0015855735230568	0.0149	0.0144	0.0144	0.0144	TRUE	0.3002
FBgn0028434	125	25	50	237	83	104	63	39	71	121	116	127	89.61	58	121	2.077	1.054	3.962	7.41948149986497e-05	0.00167886432223665	0.0022	0.048	0.0375	0.0375	TRUE	0.4802
FBgn0259246	540	247	228	908	437	439	272	386	325	463	611	538	432.53	328	537	1.648	0.72	3.962	7.42643474751588e-05	0.00167886432223665	0.0226	0.0201	0.0211	0.0211	TRUE	0.206
FBgn0250785	2061	778	843	2937	1194	1405	1038	1216	1201	1498	1670	1722	1390.81	1152	1630	1.417	0.503	3.959	7.54017705691017e-05	0.00170026220369364	0.0061	0.0151	0.0108	0.0108	TRUE	0.0952
FBgn0029506	19279	5861	7108	31350	9069	10292	9710	9160	10128	15987	12684	12615	11713.96	9666	13762	1.424	0.51	3.949	7.8578261167344e-05	0.00176741558640791	0.0109	0.0131	0.0119	0.0119	TRUE	0.2454
FBgn0035390	1960	604	694	2598	984	1036	987	944	989	1325	1376	1270	1148.49	973	1324	1.359	0.442	3.947	7.9058026387356e-05	0.00177372755927501	0	0.0156	0.0081	0.0081	TRUE	0.0145
FBgn0038815	262	90	91	469	157	167	132	141	130	239	220	205	177.62	134	221	1.659	0.731	3.945	7.98660323242617e-05	0.00178287405993032	0	0.0306	0.0183	0.0183	TRUE	0.0653
FBgn0011710	4464	1488	1588	5667	2212	2463	2248	2325	2263	2890	3094	3019	2639.85	2279	3001	1.317	0.397	3.934	8.36349868809086e-05	0.00186234207037063	6e-04	0.014	0.0069	0.0069	TRUE	0.0131
FBgn0033926	22982	6968	6579	27596	10743	11913	11575	10890	9374	14072	15026	14602	12589.83	10613	14567	1.372	0.456	3.911	9.19252696989595e-05	0.00201669551036609	0.006	0.0131	0.0097	0.0097	TRUE	0.1271
FBgn0050185	777	224	275	1045	401	451	391	350	392	533	561	553	463.3	378	549	1.447	0.533	3.908	9.31200666039613e-05	0.00203376580884608	0	0.0196	0.011	0.011	TRUE	0.0418
FBgn0259734	477	186	156	740	274	332	240	291	222	377	383	407	320.12	251	389	1.555	0.637	3.908	9.31600370505447e-05	0.00203376580884608	0.0033	0.0227	0.0156	0.0156	TRUE	0.1816
FBgn0024177	682	176	269	1095	387	386	344	275	383	558	541	473	429.11	334	524	1.568	0.649	3.9	9.6214812221523e-05	0.00208512246339928	0.0135	0.0202	0.0173	0.0173	TRUE	0.2371
